rssi,rate,noise_floor,data,local_time,channel
-50,11,-95,"[0, 0, -17, 0, -18]",161840779,6
-50,11,-95,"[0, 0, -19, 4, -20]",161851024,6
-49,11,-95,"[0, 0, -15, -11, -17]",161854922,6
-49,11,-95,"[0, 0, 2, -18, 0]",161858825,6
-49,11,-95,"[0, 0, -18, 0, -19]",161862530,6
-49,11,-95,"[0, 0, 17, -2, 18]",161869523,6
-49,11,-95,"[0, 0, 12, 8, 14]",161877160,6
-49,11,-95,"[0, 0, 12, 7, 13]",161881867,6
-49,11,-95,"[0, 0, -9, -13, -11]",161895247,6
-49,11,-95,"[0, 0, -16, -4, -18]",161900635,6
-49,11,-95,"[0, 0, 4, -16, 3]",161934058,6
-49,11,-95,"[0, 0, 15, -1, 17]",161952115,6
-51,11,-95,"[0, 0, 5, -14, 4]",161985994,6
-51,11,-95,"[0, 0, -14, -4, -16]",161993455,6
-51,11,-95,"[0, 0, -10, 11, -9]",161997737,6
-51,11,-95,"[0, 0, 2, -14, 1]",162001826,6
-52,11,-95,"[0, 0, 16, -7, 16]",162170233,6
-52,11,-95,"[0, 0, -8, 17, -7]",162199784,6
-52,11,-95,"[0, 0, -9, -6, -11]",162391161,6
-52,11,-95,"[0, 0, -11, -3, -13]",162403040,6
-52,11,-95,"[0, 0, 5, -8, 6]",162406957,6
-53,11,-95,"[0, 0, -10, 4, -12]",162410353,6
-53,11,-95,"[0, 0, -4, -12, -5]",162454906,6
-53,11,-95,"[0, 0, -8, 9, -9]",162461494,6
-53,11,-95,"[0, 0, -6, -11, -7]",162466791,6
-52,11,-95,"[0, 0, -4, -12, -5]",162470664,6
-52,11,-95,"[0, 0, -1, -11, -1]",162475647,6
-53,11,-95,"[0, 0, 11, 2, 13]",162485775,6
-54,11,-95,"[0, 0, -12, -5, -13]",162494274,6
-54,11,-95,"[0, 0, 15, -3, 16]",162504698,6
-54,11,-95,"[0, 0, 15, 7, 16]",162509957,6
-55,11,-95,"[0, 0, 12, 7, 12]",162801922,6
-56,11,-95,"[0, 0, 15, 0, 15]",162806617,6
-56,11,-95,"[0, 0, 14, 8, 14]",162815210,6
-56,11,-95,"[0, 0, -11, 11, -11]",162819818,6
-55,11,-95,"[0, 0, -7, -16, -7]",162981066,6
-55,11,-95,"[0, 0, -1, -16, -1]",162995339,6
-55,11,-95,"[0, 0, -14, 3, -15]",163025306,6
-54,11,-95,"[0, 0, 11, -4, 12]",163066685,6
-54,11,-95,"[0, 0, 7, -10, 8]",163071231,6
-54,11,-95,"[0, 0, 3, -10, 3]",163080901,6
-55,11,-95,"[0, 0, 8, 0, 11]",163084526,6
-55,11,-95,"[0, 0, -5, 6, -7]",163088305,6
-54,11,-95,"[0, 0, -8, -5, -10]",163092480,6
-54,11,-95,"[0, 0, 9, 1, 11]",163096403,6
-55,11,-95,"[0, 0, 9, -7, 11]",163100390,6
-55,11,-95,"[0, 0, 7, -9, 8]",163108129,6
-55,11,-95,"[0, 0, -10, -7, -13]",163112101,6
-55,11,-95,"[0, 0, -13, -3, -15]",163116243,6
-56,11,-95,"[0, 0, -13, -1, -15]",163120662,6
